,estimated,correct,approx_estimated,approx_estimated2,same_cluster,len
777,1.2160227871038828e-07,1.4995322555994017e-07,1.9185720061868727e-07,1.3699483630147264e-07,0.0,8
778,0.02677273248480679,0.027991250438394913,0.031460696167433445,0.0321571053155425,0.0,3
779,1.2055987916954744e-14,1.779360429074728e-14,1.9969163462033622e-14,1.2390653265915951e-14,0.0,15
780,0.00022421266477388338,0.00024953213526450143,0.00029431079787369126,0.000264606902400927,0.0,5
781,9.67316599346293e-09,1.1277397281198295e-08,1.625611093370415e-08,1.0764195951595028e-08,0.0,9
782,2.556642985674809e-06,3.0060892833702954e-06,3.927893945010026e-06,2.8184383666339424e-06,0.0,7
783,0.003348115349443572,0.0036042141279086968,0.004280352789300045,0.003759614987926548,0.0,4
784,1.5000952762345898e-10,1.9378935278841944e-10,2.9749819646565416e-10,1.5866099389655004e-10,0.0,11
785,2.8069307665878314e-05,3.3965491134354835e-05,4.0318668124197605e-05,3.0957330001805276e-05,0.0,6
786,0.0002866918363225916,0.00033691724118276283,0.0003844550207560849,0.0003246442135042817,0.0,5
787,4.617482799385526e-15,6.5381881039145465e-15,7.809257028894216e-15,4.845560821484265e-15,0.0,15
788,1.1866097717898864e-09,1.5506468673277578e-09,2.1569564307375134e-09,1.2777595148646482e-09,0.0,10
789,1.4445428683808122e-06,1.6671093711678871e-06,2.1322821799214047e-06,1.6662196422805531e-06,0.0,7
790,3.373876826298727e-06,4.169371437017169e-06,5.308881517702878e-06,3.5602199547170913e-06,0.0,7
791,4.0834254630686886e-09,5.6722459296630666e-09,8.053380398223722e-09,4.1441155261393815e-09,0.0,10
792,0.02586517721893312,0.027444203540495246,0.03027348975348437,0.03157375646628095,0.0,3
793,2.677093200686259e-09,3.4369269316237318e-09,5.100859854912747e-09,2.821989531293794e-09,0.0,10
794,2.597907044513635e-05,2.9996406454893474e-05,3.7166826705614436e-05,2.907259848774763e-05,0.0,6
795,2.4219488200704424e-05,2.7697173788627365e-05,3.4777264406730054e-05,2.7208818556494875e-05,0.0,6
796,0.00031690648628712715,0.0003689566921539415,0.00042921670702457556,0.0003521006442366078,0.0,5
797,0.0028781112484423327,0.0031502644048844322,0.0036177298114849206,0.0033392609610632864,0.0,4
798,0.032263792966579344,0.03389976324182738,0.03907187509335883,0.03594887283574252,0.0,3
799,0.0003340128299188052,0.00038700205302623234,0.00045429509767407896,0.00036834426586303764,0.0,5
800,0.0031700988900176673,0.0035477501700447315,0.004020530951567115,0.0036098267209853374,0.0,4
801,0.0004029584493085513,0.0004839635463249195,0.0005602429500234212,0.0004309414472616585,0.0,5
802,0.00027498068465062886,0.00030397655326626014,0.00036799478546316273,0.00031360764558725367,0.0,5
803,1.8657306586752186e-07,2.2007465397136825e-07,3.012880998228495e-07,2.0423394107120156e-07,0.0,8
804,0.0034810097822070467,0.003925820244031207,0.004459651151436224,0.003867671486770004,0.0,4
805,7.193085112104353e-05,8.701765478873407e-05,0.00011278167532985045,7.054619929465586e-05,0.0,6
806,0.03302972027972028,0.035289189966599036,0.04024130294874194,0.036550972183730324,0.0,3
807,2.5399236440543033e-05,2.9657164111196055e-05,3.659144641046396e-05,2.8333485857385853e-05,0.0,6
808,1.3044049645002573e-08,1.537927077843137e-08,2.2296732687821235e-08,1.4303535403172733e-08,0.0,9
809,0.0004277760798784315,0.000499389314325327,0.0005995580500074904,0.00045231912440176115,0.0,5
810,0.003612295940444771,0.003845444434080355,0.004702450662973681,0.003930053284943715,0.0,4
811,1.91434936033948e-06,2.22471534876595e-06,2.9050846917048445e-06,2.1359593700528766e-06,0.0,7
812,3.0942646121354847e-09,3.986692221784401e-09,6.055838015113958e-09,3.1925931885362245e-09,0.0,10
813,1.0538510179885458e-09,1.245969213196081e-09,1.915436223069943e-09,1.1425149316623527e-09,0.0,10
814,0.00036374372542343793,0.0004158876324353521,0.0005040995800174864,0.00039188267318071015,0.0,5
815,9.190555381535367e-10,1.2161474447336452e-09,1.6614961656669852e-09,9.985970579704733e-10,0.0,10
816,1.2818445016352477e-11,1.8156401378442777e-11,2.4344682770776322e-11,1.3302589794913427e-11,0.0,12
817,5.898491220767641e-06,7.288991106340044e-06,9.762260908965772e-06,5.888056078955189e-06,0.0,7
818,2.6053034312176786e-07,3.3320340069818315e-07,4.3104889996492544e-07,2.7720018411004234e-07,0.0,8
819,0.006174563991897268,0.0068842469960698404,0.008553615279604835,0.006119414955555008,0.0,4
820,2.905468477598296e-07,3.6052709001710836e-07,4.848021172057355e-07,3.0574904028084405e-07,0.0,8
821,8.434620441536795e-06,1.0040903701120645e-05,1.4452644803187132e-05,8.419193617404958e-06,0.0,7
822,1.4195679893891306e-10,1.972988269335896e-10,2.812874917256075e-10,1.4846217469384003e-10,0.0,11
823,3.861649283447165e-05,4.563604710957806e-05,5.7537587107998775e-05,4.075517271945134e-05,0.0,6
824,1.9398301944183407e-08,2.5781000356453478e-08,3.405083680565214e-08,2.05523399178444e-08,0.0,9
825,2.747361149735119e-07,3.506600329365811e-07,4.565863092641722e-07,2.9063812656704323e-07,0.0,8
826,9.212406626240684e-12,1.3069276823870417e-11,1.774969112410265e-11,9.698908884275592e-12,0.0,12
827,7.944152418697255e-15,1.1510333313022244e-14,1.3198334556053916e-14,8.189426035925022e-15,0.0,15
828,2.2884174588089553e-08,3.0129837227389466e-08,4.045081545158822e-08,2.4036360674161007e-08,0.0,9
829,3.146749464216425e-06,3.9333088882806815e-06,4.917206331953813e-06,3.3414488698118472e-06,0.0,7
830,3.289282767283788e-06,4.146256272139033e-06,5.15824691306507e-06,3.4666739460524236e-06,0.0,7
831,1.3186510327208378e-13,1.9385709327044546e-13,2.2604150475669368e-13,1.3502733507326646e-13,0.0,14
832,2.0027403772557053e-08,2.6579734316031508e-08,3.516834040091298e-08,2.1117385910130976e-08,0.0,9
833,1.1932777526698267e-11,1.761714625936169e-11,2.2691969333834425e-11,1.2399502697530046e-11,0.0,12
834,7.464934971755937e-15,1.1040865072955354e-14,1.2457359343432697e-14,7.72965880753393e-15,0.0,15
835,4.192039182279676e-09,5.849056196357223e-09,8.284328845860305e-09,4.262518826886221e-09,0.0,10
836,0.056905594405594395,0.05827411466099283,0.07527310817673946,0.04895357479575721,0.0,3
837,0.0007698989624790138,0.0009149763844960041,0.0011577628465692645,0.0007454161967131953,0.0,5
838,1.163990231424316e-13,1.639352473712391e-13,2.0175502171585065e-13,1.2051964947438968e-13,0.0,14
839,8.966849925289968e-08,1.227688378488999e-07,1.7511788713185239e-07,8.656659562172369e-08,0.0,9
840,2.684940817786375e-11,3.8569105775726007e-11,5.019408492252685e-11,2.7427398752427085e-11,0.0,12
841,6.48634649922491e-06,8.108794852993758e-06,1.0794855673577309e-05,6.560796631006736e-06,0.0,7
842,7.790674010232375e-10,1.0430213544829351e-09,1.392320421029904e-09,8.558506228745585e-10,0.0,10
843,6.66672963269449e-17,1.0017641671349256e-16,1.0308777112399692e-16,6.832271237273428e-17,0.0,17
844,5.505223579359556e-12,7.703064409570798e-12,1.0822421325441282e-11,5.913662249601693e-12,0.0,12
845,1.7571557032002056e-06,2.159503719304964e-06,2.6304095730068e-06,1.9838587716270443e-06,0.0,7
846,6.513089997318833e-16,9.851492067005823e-16,1.0455635902759738e-15,6.715152875508439e-16,0.0,16
847,0.0040787840941087245,0.004577042074330314,0.005379098014103515,0.004274254030161006,0.0,4
848,5.961937122494593e-11,7.567954177573208e-11,1.1330056818115543e-10,6.495312196943614e-11,0.0,11
849,9.399028752296546e-10,1.229417382854041e-09,1.690527916978329e-09,1.0217155932306772e-09,0.0,10
850,8.86940368597376e-13,1.2316167940914335e-12,1.623014957472125e-12,9.295322063434708e-13,0.0,13
851,7.863844084122616e-14,1.1243322329060842e-13,1.3732660278306567e-13,8.203292235389028e-14,0.0,14
852,2.0539234370110298e-07,2.6658809939511217e-07,3.3528899472779753e-07,2.2155425466859756e-07,0.0,8
853,2.5247996692953965e-17,3.7825747885423064e-17,3.969345740563502e-17,2.630733639727793e-17,0.0,17
854,5.469752350125234e-06,6.846273521253797e-06,8.963257522600733e-06,5.6327873193714095e-06,0.0,7
855,8.286654954506775e-12,1.1498858287827715e-11,1.615373872078563e-11,8.826837543135845e-12,0.0,12
856,2.6622556965352736e-07,3.576711564851662e-07,4.4286226238218416e-07,2.8526591908633757e-07,0.0,8
857,3.769951676172739e-06,4.997185567769784e-06,6.003547763508607e-06,3.961581981154198e-06,0.0,7
858,6.157473316901017e-05,7.627740879829142e-05,9.480568130879456e-05,6.310492292636575e-05,0.0,6
859,7.20371761318762e-12,1.096717045727597e-11,1.4055618250960444e-11,7.680368056833911e-12,0.0,12
860,1.4124599917467443e-13,2.1087563671142683e-13,2.430344177132825e-13,1.4517816004733448e-13,0.0,14
861,3.296430136442689e-08,4.4953682903024126e-08,5.985460930325787e-08,3.402897255229495e-08,0.0,9
862,0.0004581087942021057,0.0005302260553280858,0.0006520669041417798,0.0004857182158660263,0.0,5
863,4.729818090579552e-09,6.144949182939827e-09,9.637751445989202e-09,4.741833420615028e-09,0.0,10
864,0.004563117884356578,0.005059383272339728,0.006078693338623543,0.004865780257549361,0.0,4
865,4.180763585584401e-05,4.6995524747688546e-05,6.382524529587681e-05,4.368587202496986e-05,0.0,6
866,0.0005320702863624256,0.0006140554697622492,0.000768780100399497,0.0005385417948104607,0.0,5
867,2.2323118591890735e-07,2.8573180839763946e-07,3.685840125732818e-07,2.419423717767673e-07,0.0,8
868,2.892660503659719e-11,3.8888862202469874e-11,5.3768425265996975e-11,2.938051450358693e-11,0.0,12
869,2.7282344205669132e-09,3.6113888281474685e-09,5.253640547290255e-09,2.8510666240751843e-09,0.0,10
870,0.004561074478934124,0.005171105962617417,0.006053678623404624,0.00485080862598767,0.0,4
871,2.0885497470175864e-12,2.838073779482071e-12,3.758554534874813e-12,2.152597222459329e-12,0.0,13
872,1.3959533054975486e-08,1.8521030173652928e-08,2.393784798015465e-08,1.515544981508672e-08,0.0,9
873,1.9045495272165863e-07,2.4827434717045795e-07,3.0941579791597235e-07,2.0778570288887136e-07,0.0,8
874,0.0003375027811255821,0.00037469516465903584,0.00045998694420153316,0.0003724832437325835,0.0,5
875,2.684940817786375e-11,4.008492361957204e-11,5.019408492252685e-11,2.7427398752427085e-11,0.0,12
876,0.003348115349443572,0.0036394786182731348,0.004280352789300045,0.003759614987926548,0.0,4
877,1.91434936033948e-06,2.219142622770273e-06,2.9050846917048445e-06,2.1359593700528766e-06,0.0,7
878,1.8592931165703763e-13,2.773116173685847e-13,3.1787511355086603e-13,1.8988472721010043e-13,0.0,14
879,3.1760089875531505e-12,4.76874150166482e-12,5.587110111438789e-12,3.199846535646489e-12,0.0,13
880,6.899832308675296e-17,1.1007990885881752e-16,1.0647438049751629e-16,7.056723018142233e-17,0.0,17
881,0.032165991902834014,0.033645615287789934,0.03892123409165595,0.035875954229584825,0.0,3
882,1.38319558197096e-07,1.646073912821596e-07,2.2087825226043067e-07,1.5425631473324085e-07,0.0,8
883,3.4160973784455136e-05,4.1295040542909074e-05,5.024319471494074e-05,3.6647827325092443e-05,0.0,6
884,2.7497062446424924e-12,4.2893070035907025e-12,4.84379731363905e-12,2.774136851480502e-12,0.0,13
885,1.0234111931321535e-10,1.3964961315707452e-10,1.9945619536865057e-10,1.0878706022712201e-10,0.0,11
886,5.695998034350417e-12,8.414748933059352e-12,1.1165861771392354e-11,6.101327351442883e-12,0.0,12
887,1.1170583015858093e-13,1.6928229755526805e-13,1.9284657137941213e-13,1.1519812982755937e-13,0.0,14
888,0.002618163686091925,0.002865399194180478,0.0032541036385549667,0.003116643563659068,0.0,4
889,4.006194823346819e-08,5.154384876491971e-08,7.346977894984095e-08,4.140671339000804e-08,0.0,9
890,0.0003158261995992427,0.00034077798916774035,0.00043279868979905373,0.0003489222731796163,0.0,5
891,0.0037472398643264666,0.004217953645461801,0.004839996263149044,0.004043005927503578,0.0,4
892,1.8129952377335994e-06,2.237397317981172e-06,2.7128462446977156e-06,2.0364226843590448e-06,0.0,7
893,4.287541139543847e-05,5.194497358581643e-05,6.411812507075373e-05,4.430348357704394e-05,0.0,6
894,0.02885264408793821,0.03030228726664934,0.03441431818695859,0.03381291858767718,0.0,3
