,Unnamed: 0,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
5,5,8,58905,35784.41344289246,0.0,82668.03001011643,2772,,2740,82668.03001011643,2,november17,0.0,0.2857142857142857
6,6,9,173552,127233.47001917318,0.0,262428.50266240083,1556,,1523,262428.50266240083,2,november17,0.0,0.2857142857142857
7,7,10,446719,425323.3140640932,0.0,712222.0321177364,775,,711,712222.0321177364,2,november17,0.0,0.2857142857142857
8,8,11,983732,1325683.0568231477,0.0,1483112.8904267433,321,,333,1483112.8904267433,2,november17,0.0,0.2857142857142857
9,9,12,1815071,3819229.758942878,0.0,2364603.1688199574,104,,124,2364603.1688199574,2,november17,0.0,0.2857142857142857
10,10,13,2741698,10072693.869739456,0.0,3836865.092846337,33,,46,3836865.092846337,2,november17,0.0,0.2857142857142857
11,11,14,3275954,24051126.17876564,0.0,2282298.6573859258,5,,16,2282298.6573859258,2,november17,0.0,0.2857142857142857
12,12,15,2917036,51309069.1813667,0.0,5226868.324791,2,,6,5226868.324791,2,november17,0.0,0.2857142857142857
13,13,16,1724264,96204504.71506256,0.0,0.0,0,0.0,0,96204504.71506256,2,november17,0.0,0.2857142857142857
14,14,17,533656,155220713.48984882,0.0,0.0,0,0.0,0,155220713.48984882,2,november17,0.0,0.2857142857142857
15,15,18,51424,209424772.16884363,0.0,0.0,0,0.0,0,209424772.16884363,2,november17,0.0,0.2857142857142857
16,16,19,0,226745617.98731935,0.0,0.0,0,0.0,0,226745617.98731935,2,november17,0.0,0.2857142857142857
17,17,20,0,184635717.50396007,0.0,0.0,0,0.0,0,184635717.50396007,2,november17,0.0,0.2857142857142857
18,18,21,0,100482023.13140684,0.0,0.0,0,0.0,0,100482023.13140684,2,november17,0.0,0.2857142857142857
19,19,22,0,27404188.126747318,0.0,0.0,0,0.0,0,27404188.126747318,2,november17,0.0,0.2857142857142857
0,0,3,83,35.91836734693877,0.0,72.48799077829688,11587,,11579,72.48799077829688,3,november17,0.0,0.2857142857142857
1,1,4,318,146.23906705539355,0.0,305.4521238713137,9747,,9704,305.4521238713137,3,november17,0.0,0.2857142857142857
2,2,5,1260,601.6693044564763,0.0,1360.9727547485977,7918,,7889,1360.9727547485977,3,november17,0.0,0.2857142857142857
3,3,6,4899,2435.328137085737,0.0,5858.992584137381,6111,,6106,5858.992584137381,3,november17,0.0,0.2857142857142857
4,4,7,17807,9542.510251437989,0.0,22762.16722924969,4219,,4298,22762.16722924969,3,november17,0.0,0.2857142857142857
5,5,8,58905,35784.41344289246,0.0,79557.81590318981,2652,,2704,79557.81590318981,3,november17,0.0,0.2857142857142857
6,6,9,173552,127233.47001917318,0.0,250920.7447388099,1500,,1493,250920.7447388099,3,november17,0.0,0.2857142857142857
7,7,10,446719,425323.3140640932,0.0,676007.7790183288,748,,765,676007.7790183288,3,november17,0.0,0.2857142857142857
8,8,11,983732,1325683.0568231477,0.0,1589079.453242527,351,,311,1589079.453242527,3,november17,0.0,0.2857142857142857
9,9,12,1815071,3819229.758942878,0.0,2495965.693547466,113,,111,2495965.693547466,3,november17,0.0,0.2857142857142857
10,10,13,2741698,10072693.869739456,0.0,5010014.394433644,40,,34,5010014.394433644,3,november17,0.0,0.2857142857142857
11,11,14,3275954,24051126.17876564,0.0,6560388.190417636,12,,5,6560388.190417636,3,november17,0.0,0.2857142857142857
12,12,15,2917036,51309069.1813667,0.0,3795684.679947273,2,,1,3795684.679947273,3,november17,0.0,0.2857142857142857
13,13,16,1724264,96204504.71506256,0.0,0.0,0,0.0,0,96204504.71506256,3,november17,0.0,0.2857142857142857
14,14,17,533656,155220713.48984882,0.0,0.0,0,0.0,0,155220713.48984882,3,november17,0.0,0.2857142857142857
15,15,18,51424,209424772.16884363,0.0,0.0,0,0.0,0,209424772.16884363,3,november17,0.0,0.2857142857142857
16,16,19,0,226745617.98731935,0.0,0.0,0,0.0,0,226745617.98731935,3,november17,0.0,0.2857142857142857
17,17,20,0,184635717.50396007,0.0,0.0,0,0.0,0,184635717.50396007,3,november17,0.0,0.2857142857142857
18,18,21,0,100482023.13140684,0.0,0.0,0,0.0,0,100482023.13140684,3,november17,0.0,0.2857142857142857
19,19,22,0,27404188.126747318,0.0,0.0,0,0.0,0,27404188.126747318,3,november17,0.0,0.2857142857142857
0,0,3,83,35.91836734693877,0.0,71.50745330080886,11535,,11628,71.50745330080886,4,november17,0.0,0.2857142857142857
